link_code,sgg_cd,emd_cd,node_wkt,tp_br,tp_pk,tp_sw,link_id,type,sgg_nm,tp_in,tp_uw,node_id,tp_tn,tp_hw,emd_nm,node_code,end_node_id,link_wkt,link_len,tp_cw
,1117000000,1117010900,POINT(126.96605678045461 37.549093252119704),,,0,0,NODE,⑹궛援,,,63427,,,泥뙆1媛,0,,,,0
,1117000000,1117012800,POINT(126.9608661773198 37.52375328772485),,,0,0,NODE,⑹궛援,,,158092,,,쒓컯濡3媛,0,,,,0
,1117000000,1117013600,POINT(127.00281423237045 37.52910384483895),,,0,0,NODE,⑹궛援,,,176792,,,蹂닿킅,0,,,,0
,1117000000,1117010900,POINT(126.96618300619184 37.54907699203925),,,0,0,NODE,⑹궛援,,,63426,,,泥뙆1媛,0,,,,0
,1117000000,1117012800,POINT(126.96106315136652 37.52336892609741),,,0,0,NODE,⑹궛援,,,158091,,,쒓컯濡3媛,0,,,,0
,1117000000,1117013100,POINT(127.00666234334271 37.53751880217288),,,0,0,NODE,⑹궛援,,,178234,,,쒕궓,0,,,,0
,1117000000,1117010900,POINT(126.96617951757244 37.549248102166494),,,0,0,NODE,⑹궛援,,,63425,,,泥뙆1媛,0,,,,0
,1117000000,1117011200,POINT(126.96958302699227 37.53909373741954),,,0,0,NODE,⑹궛援,,,165616,,,먰슚濡1媛,0,,,,0
,1117000000,1117013600,POINT(127.00247902764133 37.5295291418624),,,0,0,NODE,⑹궛援,,,176791,,,蹂닿킅,0,,,,0
,1117000000,1117010900,POINT(126.96673565839691 37.54903097617652),,,0,0,NODE,⑹궛援,,,63424,,,泥뙆1媛,0,,,,0
,1117000000,1117012200,POINT(126.96856239392753 37.53824731561183),,,0,0,NODE,⑹궛援,,,165617,,,臾몃같,0,,,,0
,1117000000,1117013600,POINT(127.0026544252449 37.52928700241987),,,0,0,NODE,⑹궛援,,,176790,,,蹂닿킅,0,,,,0
,1117000000,1117010900,POINT(126.96684469502749 37.549313476004166),,,0,0,NODE,⑹궛援,,,63423,,,泥뙆1媛,0,,,,0
,1117000000,1117011200,POINT(126.96819033234901 37.53849028742619),,,0,0,NODE,⑹궛援,,,165618,,,먰슚濡1媛,0,,,,0
,1117000000,1117013100,POINT(127.0004221463872 37.53432937706281),,,1,0,NODE,⑹궛援,,,176789,,,쒕궓,0,,,,0
,1117000000,1117010900,POINT(126.96493763626064 37.54959539426943),,,0,0,NODE,⑹궛援,,,63422,,,泥뙆1媛,0,,,,0
,1117000000,1117010200,POINT(126.98687568964831 37.5418203165606),,,0,0,NODE,⑹궛援,,,143678,,,⑹궛2媛,0,,,,0
,1117000000,1117013100,POINT(127.00001591492362 37.534591737352116),,,1,0,NODE,⑹궛援,,,176788,,,쒕궓,0,,,,0
,1117000000,1117010900,POINT(126.96505371913015 37.54938629287316),,,0,0,NODE,⑹궛援,,,63421,,,泥뙆1媛,0,,,,0
,1117000000,1117010200,POINT(126.98645412896722 37.542173197590294),,,0,0,NODE,⑹궛援,,,143677,,,⑹궛2媛,0,,,,0
,1117000000,1117013100,POINT(126.99894715618012 37.535063497430116),,,0,0,NODE,⑹궛援,,,176787,,,쒕궓,0,,,,0
,1117000000,1117010900,POINT(126.96495473487639 37.54950576971402),,,0,0,NODE,⑹궛援,,,63420,,,泥뙆1媛,0,,,,0
,1117000000,1117011200,POINT(126.96890989560053 37.53872550177595),,,0,0,NODE,⑹궛援,,,165619,,,먰슚濡1媛,0,,,,0
,1117000000,1117013100,POINT(127.00192922211417 37.5318569685212),,,0,0,NODE,⑹궛援,,,176784,,,쒕궓,0,,,,0
,1117000000,1117010900,POINT(126.96493095230343 37.54929934289062),,,0,0,NODE,⑹궛援,,,63419,,,泥뙆1媛,0,,,,0
,1117000000,1117012200,POINT(126.96974688002022 37.538545427767176),,,0,0,NODE,⑹궛援,,,165620,,,臾몃같,0,,,,0
,1117000000,1117013100,POINT(127.00173652787183 37.53181857805222),,,0,0,NODE,⑹궛援,,,176783,,,쒕궓,0,,,,0
,1117000000,1117010900,POINT(126.96473639464591 37.54953829730321),,,0,0,NODE,⑹궛援,,,63418,,,泥뙆1媛,0,,,,0
,1117000000,1117011200,POINT(126.96713510782331 37.53847068153414),,,0,0,NODE,⑹궛援,,,165621,,,먰슚濡1媛,2,,,,0
,1117000000,1117013100,POINT(127.00702907533321 37.53761298319333),,,0,0,NODE,⑹궛援,,,178235,,,쒕궓,0,,,,0
,1117000000,1117010900,POINT(126.96482173527869 37.549416100532696),,,0,0,NODE,⑹궛援,,,63417,,,泥뙆1媛,0,,,,0
,1117000000,1117012200,POINT(126.9689940142637 37.535396429956045),,,0,0,NODE,⑹궛援,,,165622,,,臾몃같,0,,,,0
,1117000000,1117013100,POINT(127.00674513927987 37.53737984910753),,,0,0,NODE,⑹궛援,,,178236,,,쒕궓,0,,,,0
,1117000000,1117010900,POINT(126.96433733660109 37.54939694287993),,,0,0,NODE,⑹궛援,,,63416,,,泥뙆1媛,0,,,,0
,1117000000,1117012200,POINT(126.96845008242748 37.53612725147112),,,0,0,NODE,⑹궛援,,,165623,,,臾몃같,0,,,,0
,1117000000,1117013100,POINT(127.00579586161109 37.53815942335026),,,0,0,NODE,⑹궛援,,,178237,,,쒕궓,0,,,,0
,1117000000,1117010900,POINT(126.96419401433785 37.54949467728754),,,0,0,NODE,⑹궛援,,,63415,,,泥뙆1媛,0,,,,0
,1117000000,1117013000,POINT(126.99010639356196 37.54330594143317),,,0,0,NODE,⑹궛援,,,146906,,,댄깭먮룞,0,,,,0
,1117000000,1117013100,POINT(127.00616846985757 37.537759044813036),,,0,0,NODE,⑹궛援,,,178238,,,쒕궓,0,,,,0
,1117000000,1117010800,POINT(126.96533417829204 37.55146988171707),,,0,0,NODE,⑹궛援,,,63414,,,쒓퀎,0,,,,0
,1117000000,1117013000,POINT(126.99026187394985 37.54353903818123),,,0,0,NODE,⑹궛援,,,146904,,,댄깭먮룞,0,,,,0
,1117000000,1117013100,POINT(127.00590820347938 37.537627174932396),,,0,0,NODE,⑹궛援,,,178239,,,쒕궓,0,,,,0
,1117000000,1117012900,POINT(126.95848027001229 37.523144317931276),,,0,0,NODE,⑹궛援,,,63248,,,댁큿,0,,,,0
,1117000000,1117012900,POINT(126.9616079421152 37.52257131124571),,,0,0,NODE,⑹궛援,,,158090,,,댁큿,0,,,,1
,1117000000,1117013100,POINT(127.0055267245362 37.53806052386812),,,0,0,NODE,⑹궛援,,,178240,,,쒕궓,0,,,,0
,1117000000,1117012800,POINT(126.95471115200405 37.530539193391235),,,0,0,NODE,⑹궛援,,,62871,,,쒓컯濡3媛,0,,,,1
,1117000000,1117010200,POINT(126.987294642382 37.54197563850902),,,0,0,NODE,⑹궛援,,,143676,,,⑹궛2媛,0,,,,0
,1117000000,1117013100,POINT(127.00526646304331 37.53799694922785),,,0,0,NODE,⑹궛援,,,178241,,,쒕궓,0,,,,0
,1117000000,1117012800,POINT(126.95548388031528 37.531723707751794),,,0,0,NODE,⑹궛援,,,62872,,,쒓컯濡3媛,0,,,,1
,1117000000,1117011800,POINT(126.94883493963788 37.53399323671198),,,0,0,NODE,⑹궛援,,,150818,,,먰슚濡4媛,0,,,,0
,1117000000,1117013100,POINT(127.00532859776628 37.538390240916456),,,0,0,NODE,⑹궛援,,,178242,,,쒕궓,0,,,,0
,1117000000,1117012900,POINT(126.9543973982233 37.52985480125748),,,0,0,NODE,⑹궛援,,,62873,,,댁큿,0,,,,0
,1117000000,1117011800,POINT(126.94838141467078 37.53410510625051),,,0,0,NODE,⑹궛援,,,150819,,,먰슚濡4媛,0,,,,0
,1117000000,1117013100,POINT(127.00524873823532 37.53828191188542),,,0,0,NODE,⑹궛援,,,178243,,,쒕궓,0,,,,0
,1117000000,1117012900,POINT(126.95438391262222 37.52970340955796),,,0,0,NODE,⑹궛援,,,62874,,,댁큿,2,,,,0
,1117000000,1117012900,POINT(126.96142422712909 37.52230868325026),,,0,0,NODE,⑹궛援,,,158089,,,댁큿,0,,,,1
,1117000000,1117013100,POINT(127.00485539392203 37.53827957365641),,,0,0,NODE,⑹궛援,,,178244,,,쒕궓,0,,,,0
,1117000000,1117012900,POINT(126.95999176067863 37.523053985429456),,,0,0,NODE,⑹궛援,,,63249,,,댁큿,0,,,,0
,1117000000,1117011800,POINT(126.94824474032265 37.5338995904486),,,0,0,NODE,⑹궛援,,,150820,,,먰슚濡4媛,0,,,,0
,1117000000,1117013100,POINT(127.00513929873384 37.53809351215933),,,0,0,NODE,⑹궛援,,,178245,,,쒕궓,0,,,,0
,1117000000,1117012900,POINT(126.95984352441826 37.522949452811254),,,0,0,NODE,⑹궛援,,,63250,,,댁큿,0,,,,0
,1117000000,1117011600,POINT(126.94703648328338 37.534418920633165),,,1,0,NODE,⑹궛援,,,150821,,,泥븫,0,,,,1
,1117000000,1117013100,POINT(127.00307498171104 37.537978186171394),,,0,0,NODE,⑹궛援,,,178246,,,쒕궓,0,,,,0
,1117000000,1117012900,POINT(126.9602941330065 37.522895092647026),,,0,0,NODE,⑹궛援,,,63251,,,댁큿,0,,,,0
,1117000000,1117013000,POINT(126.99117638160871 37.53352588747091),,,0,0,NODE,⑹궛援,,,150681,,,댄깭먮룞,0,,,,0
,1117000000,1117013100,POINT(127.00554141009069 37.53668516985094),,,0,0,NODE,⑹궛援,,,178247,,,쒕궓,0,,,,0
,1117000000,1117012900,POINT(126.95810930525286 37.523562116156064),,,0,0,NODE,⑹궛援,,,63252,,,댁큿,0,,,,0
,1117000000,1117013000,POINT(126.99123643478289 37.53337183924097),,,0,0,NODE,⑹궛援,,,150680,,,댄깭먮룞,0,,,,0
