link_code,sgg_cd,emd_cd,node_wkt,tp_br,tp_pk,tp_sw,link_id,type,sgg_nm,tp_in,tp_uw,node_id,tp_tn,tp_hw,emd_nm,node_code,end_node_id,link_wkt,link_len,tp_cw,strt_node_id
1111,1117000000,1117011000,,0,0,0,126284,LINK,⑹궛援,0,0,0,0,0,泥뙆2媛,,163943,"LINESTRING(126.96687439828702 37.54656124030028,126.9670779800148 37.54647753278375)",20.248,0,143354
1111,1117000000,1117010800,,0,0,0,121595,LINK,⑹궛援,0,0,0,0,0,쒓퀎,,141960,"LINESTRING(126.96521311405824 37.55161197343942,126.96507720490918 37.5520148782175)",46.302,0,143206
1111,1117000000,1117010900,,0,0,0,139492,LINK,⑹궛援,0,0,0,0,0,泥뙆1媛,,64029,"LINESTRING(126.9685312275243 37.54956173474517,126.96876455255862 37.54946710649507)",23.139,0,64025
1111,1117000000,1117011200,,0,0,0,139495,LINK,⑹궛援,0,0,0,0,0,먰슚濡1媛,,157886,"LINESTRING(126.96645699757016 37.53822661454717,126.96680861508428 37.53851002896341)",44.217,0,63658
1111,1117000000,1117011800,,0,0,0,112703,LINK,⑹궛援,0,0,0,0,0,먰슚濡4媛,,151977,"LINESTRING(126.95176165782271 37.53281143459503,126.95141661342156 37.53293114250121)",33.266,0,151978
1111,1117000000,1117012400,,0,0,0,139501,LINK,⑹궛援,0,0,0,0,0,쒓컯濡1媛,,47429,"LINESTRING(126.97229823234638 37.53409298581065,126.97174544058257 37.53352664322137)",79.613,0,47426
1111,1117000000,1117013600,,0,0,0,139502,LINK,⑹궛援,0,0,0,0,0,蹂닿킅,,176904,"LINESTRING(127.00257845049914 37.53028503743926,127.00207951981623 37.53055512158919)",53.323,0,179075
1111,1117000000,1117010400,,0,0,0,126195,LINK,⑹궛援,0,0,0,0,0,媛덉썡,,64131,"LINESTRING(126.97062664567845 37.54848517345063,126.9708691555381 37.54828128535992,126.97089668821432 37.54805549238352)",56.344,0,64130
1111,1117000000,1117012100,,0,0,0,26650,LINK,⑹궛援,0,0,0,0,0,⑸Ц,,157760,"LINESTRING(126.96088624113032 37.5364589887619,126.96083592544002 37.53652085508073)",8.181,0,157748
1111,1117000000,1117013000,,0,0,0,255888,LINK,⑹궛援,0,0,0,0,0,댄깭먮룞,,149032,"LINESTRING(126.99014771659725 37.53864018945043,126.99063795763816 37.538648077933495)",43.336,0,149033
1111,1117000000,1117010800,,0,0,0,138345,LINK,⑹궛援,0,0,0,0,0,쒓퀎,,143204,"LINESTRING(126.96458140190414 37.55118131883839,126.96480365191104 37.551454549008135,126.96491540710154 37.55160351971759)",55.388,0,143216
1111,1117000000,1117012800,,0,0,0,100659,LINK,⑹궛援,0,0,0,0,0,쒓컯濡3媛,,63798,"LINESTRING(126.96324733628002 37.52685315997173,126.96286696683475 37.52643496843818)",57.313,0,63797
1111,1117000000,1117010200,,0,0,0,111997,LINK,⑹궛援,0,0,0,0,0,⑹궛2媛,,65321,"LINESTRING(126.98412068463979 37.54229666078143,126.98431436430302 37.5418393935697)",53.56,0,74809
1111,1117000000,1117010800,,0,0,0,134944,LINK,⑹궛援,0,0,0,0,0,쒓퀎,,141957,"LINESTRING(126.96598782824557 37.55207370350023,126.96620851360527 37.552012418853245)",20.653,0,141956
1111,1117000000,1117013300,,0,0,0,109820,LINK,⑹궛援,0,0,0,0,0,쒕튃怨좊룞,,213948,"LINESTRING(126.9927261857477 37.51956288763203,126.99274092026758 37.519494568787984)",7.694,0,169567
1111,1117000000,1117013000,,0,0,0,111929,LINK,⑹궛援,0,0,0,0,0,댄깭먮룞,,151862,"LINESTRING(126.99338612962997 37.53215549392843,126.9934661747984 37.53215815446575)",7.081,0,151861
1111,1117000000,1117011400,,0,0,0,134962,LINK,⑹궛援,0,0,0,0,0,좎갹,,150435,"LINESTRING(126.95506870147462 37.535904022981704,126.95516248710017 37.535960092060435)",10.365,0,150694
1111,1117000000,1117013000,,0,0,0,134357,LINK,⑹궛援,0,0,0,0,0,댄깭먮룞,,143908,"LINESTRING(126.988204715605 37.536594310590495,126.9881130780015 37.53662835359655)",8.937,0,143907
1111,1117000000,1117012400,,0,0,0,134964,LINK,⑹궛援,0,0,0,0,0,쒓컯濡1媛,,47161,"LINESTRING(126.97474000786373 37.536153522335546,126.97480062528777 37.53612012279076,126.97483329180861 37.53602360476957,126.9749078814141 37.536031045640726)",24.253,0,47160
1111,1117000000,1117011900,,0,0,0,134341,LINK,⑹궛援,0,0,0,0,0,⑥갹,,152987,"LINESTRING(126.96252963291118 37.54026755685315,126.96297188905308 37.540358261486524)",40.361,0,182762
1111,1117000000,1117012400,,0,0,0,257144,LINK,⑹궛援,0,0,0,0,0,쒓컯濡1媛,,47432,"LINESTRING(126.97346883153479 37.53229950196143,126.97343884190276 37.532002908093105)",33.025,0,47430
1111,1117000000,1117012800,,0,0,0,109896,LINK,⑹궛援,0,0,0,0,0,쒓컯濡3媛,,214616,"LINESTRING(126.96703964586202 37.52460686715822,126.96703429161485 37.524609895812894,126.96630347680367 37.52502328000046)",79.816,0,214617
